timestamps,agg_signal,p300_signal_id
15:32.7,1.418094329,p300_sig_id_0
15:32.7,1.418094329,p300_sig_id_0
15:32.7,1.418094329,p300_sig_id_0
15:32.7,1.418094329,p300_sig_id_0
15:32.7,1.418094329,p300_sig_id_0
15:32.7,1.418094329,p300_sig_id_0
15:32.7,1.418094329,p300_sig_id_0
15:32.7,1.418094329,p300_sig_id_0
15:32.7,1.418094329,p300_sig_id_0
15:32.7,1.418094329,p300_sig_id_0
15:32.7,1.418094329,p300_sig_id_0
15:32.7,1.418094329,p300_sig_id_0
15:32.7,1.418094329,p300_sig_id_0
15:32.7,1.418094329,p300_sig_id_0
15:32.7,1.418094329,p300_sig_id_0
15:32.7,1.3955347100000002,p300_sig_id_0
15:32.8,1.3955347100000002,p300_sig_id_0
15:32.8,1.3955347100000002,p300_sig_id_0
15:32.8,1.3955347100000002,p300_sig_id_0
15:32.8,1.3955347100000002,p300_sig_id_0
15:32.8,1.3955347100000002,p300_sig_id_0
15:32.8,1.3955347100000002,p300_sig_id_0
15:32.8,1.3955347100000002,p300_sig_id_0
15:32.8,1.3955347100000002,p300_sig_id_0
15:32.8,1.3955347100000002,p300_sig_id_0
15:32.8,1.3955347100000002,p300_sig_id_0
15:32.8,1.3955347100000002,p300_sig_id_0
15:32.8,1.3955347100000002,p300_sig_id_0
15:32.8,1.3955347100000002,p300_sig_id_0
15:32.8,1.3955347100000002,p300_sig_id_0
15:32.8,1.3955347100000002,p300_sig_id_0
15:32.8,1.3955347100000002,p300_sig_id_0
15:32.9,1.3955347100000002,p300_sig_id_0
15:32.9,1.3955347100000002,p300_sig_id_0
15:32.9,1.3955347100000002,p300_sig_id_0
15:32.9,1.3955347100000002,p300_sig_id_0
15:32.9,1.3955347100000002,p300_sig_id_0
15:32.9,1.3955347100000002,p300_sig_id_0
15:32.9,1.3955347100000002,p300_sig_id_0
15:32.9,1.3955347100000002,p300_sig_id_0
15:32.9,1.3955347100000002,p300_sig_id_0
15:32.9,1.410294957,p300_sig_id_0
15:32.9,1.410294957,p300_sig_id_0
15:32.9,1.410294957,p300_sig_id_0
15:32.9,1.410294957,p300_sig_id_0
15:32.9,1.410294957,p300_sig_id_0
15:32.9,1.410294957,p300_sig_id_0
15:32.9,1.410294957,p300_sig_id_0
15:32.9,1.410294957,p300_sig_id_0
15:32.9,1.410294957,p300_sig_id_0
15:32.9,1.410294957,p300_sig_id_0
15:32.9,1.410294957,p300_sig_id_0
15:32.9,1.410294957,p300_sig_id_0
15:32.9,1.410294957,p300_sig_id_0
15:32.9,1.410294957,p300_sig_id_0
15:32.9,1.410294957,p300_sig_id_0
15:32.9,1.410294957,p300_sig_id_0
15:32.9,1.410294957,p300_sig_id_0
15:32.9,1.410294957,p300_sig_id_0
15:32.9,1.410294957,p300_sig_id_0
15:32.9,1.410294957,p300_sig_id_0
15:32.9,1.410294957,p300_sig_id_0
15:32.9,1.410294957,p300_sig_id_0
15:32.9,1.410294957,p300_sig_id_0
15:32.9,1.410294957,p300_sig_id_0
15:32.9,1.410294957,p300_sig_id_0
15:32.9,1.410294957,p300_sig_id_0
15:32.9,1.427488558,p300_sig_id_0
15:33.0,1.427488558,p300_sig_id_0
15:33.0,1.427488558,p300_sig_id_0
15:33.0,1.427488558,p300_sig_id_0
15:33.0,1.427488558,p300_sig_id_0
15:33.0,1.427488558,p300_sig_id_0
15:33.0,1.427488558,p300_sig_id_0
15:33.0,1.427488558,p300_sig_id_0
15:33.0,1.427488558,p300_sig_id_0
15:33.0,1.427488558,p300_sig_id_0
15:33.0,1.427488558,p300_sig_id_0
15:33.0,1.427488558,p300_sig_id_0
15:33.0,1.427488558,p300_sig_id_0
15:33.1,1.427488558,p300_sig_id_0
15:33.1,1.427488558,p300_sig_id_0
15:33.1,1.427488558,p300_sig_id_0
15:33.1,1.427488558,p300_sig_id_0
15:33.1,1.427488558,p300_sig_id_0
15:33.1,1.427488558,p300_sig_id_0
15:33.1,1.427488558,p300_sig_id_0
15:33.1,1.427488558,p300_sig_id_0
15:33.1,1.427488558,p300_sig_id_0
15:33.1,1.427488558,p300_sig_id_0
15:33.1,1.427488558,p300_sig_id_0
15:33.1,1.427488558,p300_sig_id_0
15:33.1,1.427488558,p300_sig_id_0
15:33.1,1.467583197,p300_sig_id_0
15:33.1,1.467583197,p300_sig_id_0
15:33.1,1.467583197,p300_sig_id_0
15:33.1,1.467583197,p300_sig_id_0
15:33.1,1.467583197,p300_sig_id_0
15:33.1,1.467583197,p300_sig_id_0
15:33.1,1.467583197,p300_sig_id_0
15:33.1,1.467583197,p300_sig_id_0
15:33.1,1.467583197,p300_sig_id_0
15:33.1,1.467583197,p300_sig_id_0
15:33.1,1.467583197,p300_sig_id_0
15:33.2,1.467583197,p300_sig_id_0
15:33.2,1.467583197,p300_sig_id_0
15:33.2,1.467583197,p300_sig_id_0
15:33.2,1.467583197,p300_sig_id_0
15:33.2,1.467583197,p300_sig_id_0
15:33.2,1.467583197,p300_sig_id_0
15:33.2,1.467583197,p300_sig_id_0
15:33.2,1.467583197,p300_sig_id_0
15:33.2,1.467583197,p300_sig_id_0
15:33.2,1.467583197,p300_sig_id_0
15:33.2,1.467583197,p300_sig_id_0
15:33.2,1.467583197,p300_sig_id_0
15:33.2,1.467583197,p300_sig_id_0
15:33.2,1.467583197,p300_sig_id_0
15:33.2,1.467583197,p300_sig_id_0
15:33.2,1.544524705,p300_sig_id_0
15:33.2,1.544524705,p300_sig_id_0
15:33.2,1.544524705,p300_sig_id_0
15:33.2,1.544524705,p300_sig_id_0
15:33.2,1.544524705,p300_sig_id_0
15:33.2,1.544524705,p300_sig_id_0
15:33.2,1.544524705,p300_sig_id_0
15:33.2,1.544524705,p300_sig_id_0
15:33.2,1.544524705,p300_sig_id_0
15:33.2,1.544524705,p300_sig_id_0
15:33.2,1.544524705,p300_sig_id_0
15:33.2,1.544524705,p300_sig_id_0
15:33.2,1.544524705,p300_sig_id_0
15:33.2,1.544524705,p300_sig_id_0
15:33.2,1.544524705,p300_sig_id_0
15:33.2,1.544524705,p300_sig_id_0
15:33.2,1.544524705,p300_sig_id_0
15:33.2,1.544524705,p300_sig_id_0
15:33.2,1.544524705,p300_sig_id_0
15:33.2,1.544524705,p300_sig_id_0
15:33.2,1.544524705,p300_sig_id_0
15:33.3,1.544524705,p300_sig_id_0
15:33.3,1.544524705,p300_sig_id_0
15:33.3,1.544524705,p300_sig_id_0
15:33.3,1.544524705,p300_sig_id_0
15:33.3,1.544524705,p300_sig_id_0
15:33.3,1.72620533,p300_sig_id_0
15:33.3,1.72620533,p300_sig_id_0
15:33.3,1.72620533,p300_sig_id_0
15:33.3,1.72620533,p300_sig_id_0
15:33.3,1.72620533,p300_sig_id_0
15:33.3,1.72620533,p300_sig_id_0
15:33.3,1.72620533,p300_sig_id_0
15:33.3,1.72620533,p300_sig_id_0
15:33.3,1.72620533,p300_sig_id_0
15:33.3,1.72620533,p300_sig_id_0
15:33.3,1.72620533,p300_sig_id_0
15:33.3,1.72620533,p300_sig_id_0
15:33.3,1.72620533,p300_sig_id_0
15:33.3,1.72620533,p300_sig_id_0
15:33.3,1.72620533,p300_sig_id_0
15:33.3,1.72620533,p300_sig_id_0
15:33.3,1.72620533,p300_sig_id_0
15:33.3,1.72620533,p300_sig_id_0
15:33.3,1.72620533,p300_sig_id_0
15:33.4,1.72620533,p300_sig_id_0
15:33.4,1.72620533,p300_sig_id_0
15:33.4,1.72620533,p300_sig_id_0
15:33.4,1.72620533,p300_sig_id_0
15:33.4,1.72620533,p300_sig_id_0
15:33.4,1.72620533,p300_sig_id_0
15:33.4,1.72620533,p300_sig_id_0
15:33.4,1.97953045,p300_sig_id_0
15:33.4,1.97953045,p300_sig_id_0
15:33.4,1.97953045,p300_sig_id_0
15:33.4,1.97953045,p300_sig_id_0
15:33.4,1.97953045,p300_sig_id_0
15:33.4,1.97953045,p300_sig_id_0
15:33.4,1.97953045,p300_sig_id_0
15:33.4,1.97953045,p300_sig_id_0
15:33.4,1.97953045,p300_sig_id_0
15:33.4,1.97953045,p300_sig_id_0
15:33.4,1.97953045,p300_sig_id_0
15:33.4,1.97953045,p300_sig_id_0
15:33.4,1.97953045,p300_sig_id_0
15:33.4,1.97953045,p300_sig_id_0
15:33.4,1.97953045,p300_sig_id_0
15:33.4,1.97953045,p300_sig_id_0
15:33.4,1.97953045,p300_sig_id_0
15:33.5,1.97953045,p300_sig_id_0
